"id","date","year","month","day","tmin","tmax"
"JA000047759",2022-01-01,2022,1,1,-2,5.6
"JA000047759",2022-01-02,2022,1,2,-0.9,9.4
"JA000047759",2022-01-03,2022,1,3,0.6,11.6
"JA000047759",2022-01-04,2022,1,4,1.5,8.4
"JA000047759",2022-01-05,2022,1,5,2,6.6
"JA000047759",2022-01-06,2022,1,6,-1,6.8
"JA000047759",2022-01-07,2022,1,7,2.5,6.6
"JA000047759",2022-01-08,2022,1,8,0.1,10
"JA000047759",2022-01-09,2022,1,9,0.7,12.3
"JA000047759",2022-01-10,2022,1,10,3.4,13.6
"JA000047759",2022-01-11,2022,1,11,1.6,7.3
"JA000047759",2022-01-12,2022,1,12,1.2,4.9
"JA000047759",2022-01-13,2022,1,13,-1.8,7.4
"JA000047759",2022-01-14,2022,1,14,-1,3.7
"JA000047759",2022-01-15,2022,1,15,2.2,8.1
"JA000047759",2022-01-16,2022,1,16,-0.4,10.6
"JA000047759",2022-01-17,2022,1,17,1.3,9.9
"JA000047759",2022-01-18,2022,1,18,2,5.8
"JA000047759",2022-01-19,2022,1,19,-0.2,7.4
"JA000047759",2022-01-20,2022,1,20,-0.2,6
"JA000047759",2022-01-21,2022,1,21,-0.5,4.1
"JA000047759",2022-01-22,2022,1,22,1.2,7.2
"JA000047759",2022-01-23,2022,1,23,0.2,5
"JA000047759",2022-01-24,2022,1,24,0.2,9.2
"JA000047759",2022-01-25,2022,1,25,-0.2,9.3
"JA000047759",2022-01-26,2022,1,26,0.4,10.9
"JA000047759",2022-01-27,2022,1,27,-2.8,9.4
"JA000047759",2022-01-28,2022,1,28,1.1,9.9
"JA000047759",2022-01-29,2022,1,29,1.5,9.6
"JA000047759",2022-01-30,2022,1,30,2.8,9.4
"JA000047759",2022-01-31,2022,1,31,-1.5,8.9
"JA000047759",2022-02-01,2022,2,1,0.1,10.6
"JA000047759",2022-02-02,2022,2,2,-0.3,8
"JA000047759",2022-02-03,2022,2,3,0.8,9.1
"JA000047759",2022-02-04,2022,2,4,0.1,10.5
"JA000047759",2022-02-05,2022,2,5,-3,6
"JA000047759",2022-02-06,2022,2,6,-0.7,11.4
"JA000047759",2022-02-07,2022,2,7,-0.4,8.4
"JA000047759",2022-02-08,2022,2,8,1.7,11.4
"JA000047759",2022-02-09,2022,2,9,1.5,11
"JA000047759",2022-02-10,2022,2,10,2.1,9.4
"JA000047759",2022-02-11,2022,2,11,1.9,12.2
"JA000047759",2022-02-12,2022,2,12,0.9,13.1
"JA000047759",2022-02-13,2022,2,13,2.1,6.7
"JA000047759",2022-02-14,2022,2,14,-2.6,10.9
"JA000047759",2022-02-15,2022,2,15,1.2,12.2
"JA000047759",2022-02-16,2022,2,16,-1.7,7.5
"JA000047759",2022-02-17,2022,2,17,-0.9,5.5
"JA000047759",2022-02-18,2022,2,18,-0.4,8.6
"JA000047759",2022-02-19,2022,2,19,0.1,8.9
"JA000047759",2022-02-20,2022,2,20,1.5,8.8
"JA000047759",2022-02-21,2022,2,21,-0.1,6.5
"JA000047759",2022-02-22,2022,2,22,-1.4,9
"JA000047759",2022-02-23,2022,2,23,-1,6.7
"JA000047759",2022-02-24,2022,2,24,0.7,6.5
"JA000047759",2022-02-25,2022,2,25,-1.8,11.2
"JA000047759",2022-02-26,2022,2,26,0,13.1
"JA000047759",2022-02-27,2022,2,27,0.8,13.3
"JA000047759",2022-02-28,2022,2,28,0.9,15.2
"JA000047759",2022-03-01,2022,3,1,3.5,8.4
"JA000047759",2022-03-02,2022,3,2,3.6,12.4
"JA000047759",2022-03-03,2022,3,3,4.5,13.7
"JA000047759",2022-03-04,2022,3,4,1.8,12.4
"JA000047759",2022-03-05,2022,3,5,2.6,17
"JA000047759",2022-03-06,2022,3,6,-0.3,9.3
"JA000047759",2022-03-07,2022,3,7,-0.9,8.9
"JA000047759",2022-03-08,2022,3,8,0.1,13
"JA000047759",2022-03-09,2022,3,9,1.4,14.5
"JA000047759",2022-03-10,2022,3,10,2.5,17.1
"JA000047759",2022-03-11,2022,3,11,4.2,19.5
"JA000047759",2022-03-12,2022,3,12,1.7,6.9
"JA000047759",2022-03-13,2022,3,13,13.2,22.4
"JA000047759",2022-03-14,2022,3,14,12.7,21.3
"JA000047759",2022-03-15,2022,3,15,5.3,19
"JA000047759",2022-03-16,2022,3,16,7.1,22.2
"JA000047759",2022-03-17,2022,3,17,3.2,17.7
"JA000047759",2022-03-18,2022,3,18,8.6,12.5
"JA000047759",2022-03-19,2022,3,19,-1.3,11.4
"JA000047759",2022-03-20,2022,3,20,4.8,12.1
"JA000047759",2022-03-21,2022,3,21,5.2,14.4
"JA000047759",2022-03-22,2022,3,22,0.1,10.9
"JA000047759",2022-03-23,2022,3,23,2.8,13
"JA000047759",2022-03-24,2022,3,24,4.6,15.7
"JA000047759",2022-03-25,2022,3,25,5,20.2
"JA000047759",2022-03-26,2022,3,26,9.1,16.7
"JA000047759",2022-03-27,2022,3,27,13.9,20.1
"JA000047759",2022-03-28,2022,3,28,4.8,14.4
"JA000047759",2022-03-29,2022,3,29,6.8,17
"JA000047759",2022-03-30,2022,3,30,9.4,22.2
"JA000047759",2022-03-31,2022,3,31,2.6,15.2
"JA000047759",2022-04-01,2022,4,1,1.8,12.6
"JA000047759",2022-04-02,2022,4,2,2.8,20.8
"JA000047759",2022-04-03,2022,4,3,8,13.6
"JA000047759",2022-04-04,2022,4,4,3.7,18.4
"JA000047759",2022-04-05,2022,4,5,6.1,21.8
"JA000047759",2022-04-06,2022,4,6,9.7,16.1
"JA000047759",2022-04-07,2022,4,7,5.5,17.8
"JA000047759",2022-04-08,2022,4,8,5.8,21.5
"JA000047759",2022-04-09,2022,4,9,9.2,25.1
"JA000047759",2022-04-10,2022,4,10,11.5,27.9
"JA000047759",2022-04-11,2022,4,11,14.4,25.9
"JA000047759",2022-04-12,2022,4,12,14.6,28
"JA000047759",2022-04-13,2022,4,13,19.6,28.5
"JA000047759",2022-04-14,2022,4,14,18.9,24.4
"JA000047759",2022-04-15,2022,4,15,10.5,18.3
"JA000047759",2022-04-16,2022,4,16,2,16.5
"JA000047759",2022-04-17,2022,4,17,6.3,22
"JA000047759",2022-04-18,2022,4,18,15.2,22.7
"JA000047759",2022-04-19,2022,4,19,13.6,23.3
"JA000047759",2022-04-20,2022,4,20,10,25.8
"JA000047759",2022-04-21,2022,4,21,13.2,20.9
"JA000047759",2022-04-22,2022,4,22,8.6,24.5
"JA000047759",2022-04-23,2022,4,23,13.9,25.2
"JA000047759",2022-04-24,2022,4,24,15.8,19
"JA000047759",2022-04-25,2022,4,25,16.4,28.9
"JA000047759",2022-04-26,2022,4,26,18.1,23.2
"JA000047759",2022-04-27,2022,4,27,6,23.3
"JA000047759",2022-04-28,2022,4,28,11.3,25.7
"JA000047759",2022-04-29,2022,4,29,15.3,19
"JA000047759",2022-04-30,2022,4,30,10.6,21.7
"JA000047759",2022-05-01,2022,5,1,3.2,19
"JA000047759",2022-05-02,2022,5,2,7.7,21.5
"JA000047759",2022-05-03,2022,5,3,7.8,21.6
"JA000047759",2022-05-04,2022,5,4,9.8,26.1
"JA000047759",2022-05-05,2022,5,5,11.9,29.3
"JA000047759",2022-05-06,2022,5,6,15.2,26.1
"JA000047759",2022-05-07,2022,5,7,20,28.5
"JA000047759",2022-05-08,2022,5,8,8.5,22.3
"JA000047759",2022-05-09,2022,5,9,6.5,17.1
"JA000047759",2022-05-10,2022,5,10,9.9,24.3
"JA000047759",2022-05-11,2022,5,11,17.5,26
"JA000047759",2022-05-12,2022,5,12,19,22.3
"JA000047759",2022-05-13,2022,5,13,18.3,22.4
"JA000047759",2022-05-14,2022,5,14,13.9,22.7
"JA000047759",2022-05-15,2022,5,15,12.7,20.7
"JA000047759",2022-05-16,2022,5,16,13.3,22.8
"JA000047759",2022-05-17,2022,5,17,15.9,22.5
"JA000047759",2022-05-18,2022,5,18,12.6,28.2
"JA000047759",2022-05-19,2022,5,19,13.3,28.5
